"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01"
"United States","National",0,326569308,,,,0.0681717021373085,0.0691971420401637,0.0696061382452699,0.0697879495566117,0.0702330601368954,0.0701687976661648,0.06987089703733,0.0702499221903851,0.0700453359572415,0.068918934783853,0.0680881546401595,0.0670197822822264,0.066988231316759,0.0679847254380298,0.0688180926964344,0.069060822702395,0.0686916786249012,0.0680276200881244,0.0669276831365451,0.0654585147750534,0.0643475934804008,0.0635519235490629,0.0632291704581717,0.0638401927708652,0.0646197858545399,0.0655383081833841,0.06640057535033,0.0667068635885976,0.0665662718017383,0.0659812363215794,0.0652496071145869,0.0643936144272314,0.0639423803637853,0.063816774542932,0.064072741668075,0.0647939742189772,0.0654597963175963,0.0661651309654006,0.0670245756313094,0.068893379716186,0.0708753564025905,0.0721352899153495,0.0723943779441782,0.0712937394547495,0.0697148269360901,0.068463256040932,0.067826648725892,0.0675084988528613,0.0666284401251158,0.0652893323388129,0.0632473558193675,0.0596127640141971,0.055506614984661,0.0508798388646769,0.0463366100276759,0.0429431771434567,0.0410495210035964,0.040643939599527,0.0413257056729581,0.0427201237295076,0.0442368477853904,0.0460013852920424,0.047553787648345,0.048724137526947,0.0494458478475342,0.0497828596378892,0.0503344528175234,0.0513855563421953,0.0531071091933809,0.0551135242416397,0.0571465078849548,0.0593349887645997,0.0613686683244808
"California","State",6,39346023,"California",,,0.0482476168852773,0.0513988053544389,0.0516456982986397,0.0513572627832543,0.0521309380070449,0.0517749198120196,0.051883714196621,0.052910900029852,0.0536314254995087,0.053562818381444,0.0537786731326202,0.0536577319010617,0.053588188992236,0.0535655469458383,0.053551798520643,0.0535413872307739,0.0536768351677149,0.0544140389721753,0.0550993124028245,0.0550794437600072,0.0547271439111117,0.0542706100542225,0.0537564920148702,0.0541233965222153,0.054736462145694,0.0551137049769402,0.0559885189138044,0.0563083190720633,0.0565328631039025,0.0567786053472287,0.056488945973086,0.0560474490056752,0.0561837707046993,0.0564440797772493,0.056743231408154,0.057339820834901,0.057367001948078,0.057218980518084,0.0574124633894223,0.0593596338396778,0.0617409344116103,0.0645596864493549,0.0669490346497091,0.0677738908744353,0.0676319509998065,0.0663733660389875,0.0648395186533976,0.0628657828821997,0.0607969975375414,0.0588437369252637,0.0567420260273521,0.0538429152071681,0.050409582332282,0.0464053436305298,0.0421598810255484,0.0384085006911136,0.0361467264940842,0.0356117856507821,0.0360800858456859,0.0373787792668211,0.0384235674659831,0.0390396047872958,0.0395726523682816,0.0398205819809729,0.0401307479841116,0.0404857321274342,0.0409012262710745,0.0419469970449197,0.0435016848697904,0.0451453232185179,0.0468810097143431,0.0485547152606106,0.0497322328453364
"Texas","State",48,28635442,"Texas",,,0.0865558779106334,0.0875008461522956,0.0884693117507133,0.0890250800841868,0.0898180754109819,0.0901591883807196,0.0899152942837973,0.0903843253128873,0.0885139349440327,0.0854955966660907,0.0829519058594243,0.0802129166306988,0.0805030358376812,0.0817818531850683,0.082646299444999,0.0828321831459733,0.0824718059376451,0.0821578234513185,0.0816086800789576,0.0808906169538512,0.0806392634383712,0.080864257231374,0.0814364849595493,0.0826830628696903,0.0839680575695053,0.0850956178362427,0.0858957103031099,0.0860226439843316,0.0854346504746458,0.0842251446772111,0.0829525094562559,0.081671677471451,0.0808588731793769,0.0805124725084884,0.0806647141879362,0.0811904494818112,0.0819243198687805,0.082973766356148,0.0840039157789619,0.0858097529233211,0.0873931331728168,0.0879967878018438,0.087858459313429,0.0869481921597561,0.0856882925639964,0.0849202982744214,0.0847545411356886,0.0848706645470631,0.0841613251186272,0.0824915819957673,0.0795199400030191,0.074493795660128,0.0691395390019486,0.0634213140293475,0.0581784446976473,0.0542256023457359,0.0518102792629097,0.0507724152794498,0.0509056175207182,0.0517411503861664,0.0529465146734811,0.0548987612468492,0.0568207299286112,0.0587143367269712,0.0599708141001511,0.0606862481711693,0.0615780290061252,0.0627725428389493,0.0648427601998335,0.0672446206307251,0.0696937516404873,0.0725951001699137,0.0752811743444665
"Florida","State",12,21216924,"Florida",,,0.0698272851368716,0.0718242442171671,0.0734429052505417,0.0747188254787333,0.0773080984536322,0.0780538091767562,0.0774714216711599,0.0760222745104667,0.0736784387598417,0.0707875991668147,0.0677800384477252,0.065059555617486,0.0633684172132766,0.0637742033957332,0.065059401985538,0.0666682007695255,0.0673108551703258,0.0671373477815356,0.0660852164089311,0.0639322893809412,0.0624544091577436,0.0616558640610417,0.0610804354177536,0.0618159755257379,0.0626768396781452,0.063582985918006,0.0648267269502282,0.0657894887154166,0.0667419097817165,0.066671357396829,0.0664608940180565,0.0658306678417112,0.0654545100400321,0.0656454889426431,0.0662324610582449,0.0676652035159659,0.0683709835962223,0.0692035674911371,0.0705032899154806,0.0727130770628496,0.0750302670182866,0.0764988611425056,0.0763546238419214,0.0749789791376227,0.0731651614262858,0.0713061209444295,0.0705255428524886,0.0696584215052672,0.0676535398723487,0.0648237604224146,0.0605162820276128,0.0543321424392829,0.0479591675869349,0.0415861886201478,0.0359843943563112,0.032029400776698,0.0304102286123137,0.0306763494319017,0.032098409442833,0.0345705863356928,0.0371754633947614,0.0400158607940146,0.0428887779038863,0.0452042030100602,0.0471781611829816,0.0486772404788551,0.0500542572169999,0.0516020764816981,0.0531030611374969,0.0544445366691779,0.0552897108458488,0.0563624523997588,0.0576246253185539
"New York","State",36,19514849,"New York",,,0.0425620677116118,0.0511170391945552,0.0528139419091822,0.0531954659571099,0.0562114808916545,0.0571676084252348,0.0558265734978578,0.0548391004794046,0.0546800203282564,0.0502266265989284,0.0494585091101561,0.0493821951226911,0.0486443929911029,0.050015938086544,0.0506710852311784,0.0510295746802553,0.0510656763600647,0.0505996549080553,0.0498926257200742,0.0482208807667942,0.0466689097817705,0.0454594544668954,0.0451881538294242,0.0455981879581729,0.0462880198652389,0.0468601667376244,0.0471616761113849,0.0470601721466719,0.0460873782854536,0.0457026081925799,0.044573635663966,0.0430156734543256,0.0427074328895199,0.0412142209882016,0.0404608715146411,0.0408623587443655,0.0403513969783992,0.0409767531498864,0.041070012350576,0.0416609726096327,0.0456420904930862,0.0506213355884129,0.0553391918332644,0.0590524817663438,0.0591645288918741,0.0589113760844135,0.0584792162496367,0.0581941403642151,0.0581705480020851,0.0572087313678156,0.0560264906271992,0.0537347700441231,0.050821744873209,0.0465095473401356,0.0425800525463031,0.0394745137640383,0.0366551572066151,0.0349916296296252,0.033650700985211,0.0327859691125683,0.0323778918813814,0.0327251415222067,0.0338080344065387,0.0347535491095336,0.0352665625390721,0.0357246344947942,0.0370652402096501,0.0387164061801405,0.0416008017824704,0.0439441428008353,0.045493020902389,0.047111320864212,0.0484624249095157
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","Metro",35620,19261570,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.0443539662198214,0.0508952245345559,0.0521997808742515,0.0529127933238557,0.0565337093044443,0.0581310028361718,0.057649672641927,0.0564975886909558,0.0539061180721968,0.0506672660895565,0.0506532218421777,0.051875145279294,0.0540603838806113,0.0558183178319047,0.0570331098521167,0.057851239843412,0.0581435065225367,0.0576008163320255,0.0570643890050074,0.0552619745181782,0.0533196788425986,0.0516304389681227,0.0498888090289935,0.0491214409574213,0.0485973195118896,0.0487938631548189,0.049600382045402,0.0497109858288412,0.0496594486789443,0.0498383010428482,0.0487889848763665,0.0475507318380022,0.0468258065126504,0.0447438914478804,0.0432645040575356,0.0430190964901328,0.0422152715669256,0.0422730144725191,0.0422797304947979,0.0432768384809831,0.0463694337437124,0.0511193880255355,0.0558522037467936,0.0593526348132494,0.0605178945080508,0.0602066971399255,0.0595529305159943,0.059117753448434,0.0582218467256607,0.0569031230975148,0.0553222601486702,0.0524031765991994,0.0495977557855409,0.0458522298193886,0.0420209753444395,0.0389375751008903,0.0360454638486414,0.0340057845937324,0.0330287245646383,0.0319557565763433,0.0315163441792343,0.0316129648784394,0.0316500464036305,0.0320121745750852,0.0322740734684736,0.032377067137889,0.0333229388705356,0.034692919210973,0.0368377231496098,0.038954123537123,0.0402921115853954,0.0413332430891853,0.0420486904476393
"Los Angeles-Long Beach-Anaheim, CA Metro Area","Metro",31080,13211027,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.0516711268682544,0.0566558475527644,0.0575708676986621,0.058099964424415,0.0603366818877757,0.0602652455043718,0.0604171732847261,0.0605776495491434,0.0602380882452871,0.059474612195505,0.0592458024137557,0.0589967620786031,0.0587875530251447,0.0584304608496645,0.0584442272049982,0.0589447616729284,0.0603206184053108,0.0627261158613386,0.064210739565084,0.0640602215417165,0.0627148166543623,0.0608707260594243,0.0590040369508498,0.0585699350188161,0.0589683043709735,0.0593336944499885,0.0610331022800319,0.0621069316418281,0.0633831787526111,0.0643896812545085,0.0640253550506647,0.0627085166701353,0.0617341344575802,0.060653520363817,0.0597906664349571,0.0600578677226756,0.0600173058826554,0.0606105424100202,0.0621986978275074,0.0662881010473167,0.0703444195115076,0.0742305031674015,0.077105540801392,0.0772461689438798,0.0757825497937053,0.073812948549199,0.0715166136019304,0.069530231672087,0.0682412891929593,0.0665574198575903,0.0651061755531889,0.0621975637479387,0.0582111462691625,0.0530736790134949,0.0470106785321995,0.0412114067795735,0.0371169802451416,0.0354835925600896,0.0352216355555255,0.0361943886319226,0.037174997269698,0.0377056175856135,0.0385520471400889,0.0394650582259451,0.0404821716562875,0.0416111040250726,0.042122497716131,0.0426632285039904,0.0434073346814129,0.0442220206758602,0.0458581834834345,0.0478830975858893,0.0496000270320378
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.0641084625114932,0.0614881912804344,0.0614438284903962,0.0624612796833634,0.0628203171987327,0.0650224097608859,0.0666941235472467,0.0682430146949336,0.0696221613283512,0.0691165519224915,0.0689812878419252,0.0694020126332672,0.0702546783679469,0.0726721686235159,0.0743609026922781,0.0742647394580311,0.0714126874870751,0.0673037822782592,0.0621796454046168,0.0566067926130115,0.0532788818633907,0.0517053453933529,0.0510166540610092,0.0513603097454637,0.051919463406819,0.0518793934456943,0.0524546478839811,0.052842292294923,0.0531721905135874,0.0530651128402824,0.0525150091863306,0.0513229217845973,0.051654339118646,0.0514588914484072,0.0526630835591118,0.0532631093106456,0.0527447400018573,0.0532147672366424,0.0538017631337685,0.0568296390030522,0.0609680131841104,0.0651240288771513,0.0678232157593438,0.0692158751715447,0.0685388482009252,0.0668734559027139,0.0652158109199862,0.0642243620614219,0.0642429227003345,0.0644104946460966,0.0641778349775177,0.0623737776566158,0.0582318264268378,0.0529818190382788,0.0469805697491131,0.0413060457104453,0.0371447746214374,0.0349584720174051,0.034718003939111,0.0359151421906231,0.0387610467956634,0.0424424129855023,0.0458614309780721,0.0481946804978019,0.0487929033523337,0.0479775469333639,0.0470024530572375,0.0468065743658945,0.0473158695047397,0.0485844861183595,0.0500085511487397,0.0513261243918708,0.0532765460879844
"Illinois","State",17,12716164,"Illinois",,,0.0550161484403552,0.0545954478168011,0.0539282747751607,0.0544000184051414,0.0550827452163367,0.0564685532297271,0.0593345010731938,0.0633652475768522,0.0681211267698866,0.0707282240253453,0.0727196501938301,0.0723829463423992,0.0715123524129204,0.0726410490324696,0.0738162041516795,0.0734390798642513,0.0715398490962692,0.0696345892841883,0.0667915786815377,0.0651529294815383,0.0643593338698814,0.062957876627269,0.0615049172903351,0.0613613480947822,0.0610356839923206,0.0613811777803017,0.0617394838670481,0.0610910695752057,0.0608854700637342,0.0607770877222514,0.0611556876258045,0.0613562266815978,0.0610899485268853,0.0600011826899304,0.0585690263556286,0.0580075950865758,0.0575738529699279,0.0575468759426319,0.0589994695425333,0.0612522940927097,0.0656062581695872,0.0706236511058412,0.0747180867095279,0.077477621113903,0.0776700775811715,0.0769503438859662,0.0751637208305964,0.0735294977261772,0.0717607004116379,0.0694682851908143,0.0673275100834655,0.0638645525886186,0.0605585083845594,0.0573345624800237,0.0538890413237877,0.0507495619813141,0.0477432460940406,0.0453991890127135,0.0439440608215411,0.0437516400393614,0.0444924043065678,0.0455301744285423,0.0467470396452766,0.0474993887561296,0.0474231019037136,0.0473223555738489,0.0473851022336011,0.047660918199123,0.0483339351894517,0.0489495819285942,0.0493173533063667,0.0504442613998116,0.0512479787539882
"Ohio","State",39,11675275,"Ohio",,,0.092311947754505,0.0809018286798859,0.0766212965777488,0.0738776916713446,0.0650734943473098,0.06092513639202,0.0578025504831812,0.0593867778197969,0.0630615472966435,0.0637538802554555,0.0636493314219692,0.0595455152882452,0.0556963290854777,0.05645050494722,0.0559292892588288,0.0550728935298724,0.0537934158164818,0.0511034866715056,0.0495324053836818,0.048120987201548,0.0469214926887346,0.0470237025162453,0.0474115314123248,0.0486274999059378,0.0505701099918561,0.0522321278701422,0.0542058629220055,0.054890429183447,0.0539923393138164,0.0524338375456,0.050427876431862,0.0485320308765979,0.0477592255033215,0.0478254965082717,0.0482478646802608,0.0497430705077981,0.051119928610054,0.0522138933114696,0.053202599901981,0.0537714562682077,0.0540227537744379,0.0536528091179034,0.0525967423361638,0.0515781582810805,0.0504463015404223,0.0498661656142872,0.049995924498418,0.0499789785624906,0.0497558717624746,0.0488762903065166,0.0470744062820192,0.0441881846126918,0.0409208281390992,0.0375659029165709,0.0348015431362829,0.0330696978244996,0.0324296616414424,0.0325749900787457,0.0330553799987923,0.0337389162525879,0.034149056856805,0.0349816326070358,0.0360555324982209,0.0368793173902661,0.0374872767386728,0.0372931749742724,0.0371008653172751,0.0378751826123102,0.0395115530781452,0.0417227249733181,0.0440529878577631,0.0462213570939809,0.0482130928664365
